Project Name,Country,Start Date,Capacity (kt H2/y),Length (km),Investment Cost (MUSD),Source,Date Online,Technology,Capacity Change (Simulated)
Alesund green hydrogen project - phase 1 - FjordH2,NOR,,20,,3.465066667,Production,2027,Unknown,6.999049893
Alesund green hydrogen project - phase 2 - FjordH2,NOR,,250,,43.31333333,Production,2027,Unknown,6.987985358
Alfanar Egypt,EGY,,1039.356792,,180.0720288,Production,,Unknown,6.950012027
Algeciras Bay,ESP,,237,,41.06104,Production,,Unknown,6.988610745
Alliander Oosterwolde - solar park of GroenLeven,NLD,,1.4,,0.237281739,Production,2022,Solar PV,1.999944677
Almeria - Endesa,ESP,,50,,8.662666667,Production,2026,,1.997606693
Alp’Hyne,FRA,,2,,0.346506667,Production,2025,,1.999915813
AltHytude,FRA,,0.08,,0.013558957,Production,2009,,1.999991822
"Alzey, Exytron Null-E",DEU,,0.0625,,0.010592935,Production,2017,,4.99999098
AM Gent H2 consumption Hub,BEL,,519.4705249,,90,Production,2025,Unknown,6.975022027
Aman - Green Hydrogen Project - phase 1,MRT,,2500,,433.1333333,Production,2029,Others/Various,1.879745338
Aman - Green Hydrogen Project - phase 2,MRT,,12500,,2165.666667,Production,2037,Others/Various,1.398678582
Amarenco green ammonia project,JOR,,1039.356792,,180.0720288,Production,,,1.950012027
AMEA- Mauritania project,MRT,,3000,,519.76,Production,,,1.855692
Amea Power - Ammonia project,DJI,,1000,,173.2533333,Production,,Unknown,6.951905351
Ammonia Iowa project,USA,,426.7858829,,73.94207683,Production,2026,Onshore wind,1.979480777
Ammonia plant Deendayal Port - Site Kandla in Gujarat,IND,,276.4689068,,47.89915966,Production,2027,Unknown,6.986712027
Ammonia plant Kota - Rajasthan state - phase 1,IND,,15.59035189,,2.701080432,Production,2025,Unknown,6.999262027
Ammonia project - Antofagasta -phase 1,CHL,,547.0298908,,94.77475201,Production,2027,,1.973696237
Ammonia project - Antofagasta -phase 2,CHL,,547.0298908,,94.77475201,Production,,,1.973696237
Ammonia project Avaada Odisha,IND,,1039.356792,,180.0720288,Production,,Unknown,6.950012027
Ammonia project Jordan,JOR,,346.4522641,,60.0240096,Production,2028,Solar PV,1.98334536
Amp Energy project,AUS,,5000,,866.2666667,Production,2028,Unknown,6.759478649
"AMpHytrite demonstrator, Port of Rotterdam, phase 1",NLD,,10,,1.499307692,Production,2026,Offshore wind,1.99953096
Ande - Fortescue Future Industries MoU,PRY,,600,,103.952,Production,,Hydropower,1.971148021
Ande - Maire Tecnimont - FerSam,PRY,,350,,60.63866667,Production,2026,Hydropower,1.98317469
"Ande - Neogreen Hydrogen, phase 1",PRY,,75,,12.994,Production,2026,Hydropower,1.996404026
"Ande - Neogreen Hydrogen, phase 2",PRY,,225,,38.982,Production,,Hydropower,1.989188025
Andes Energy,COL,,28,,4.851093333,Production,2030,,1.99866504
Angeles Link,USA,,15000,,2598.8,Production,,Others/Various,1.278411893
Anglo-American Mogalakwena mine,ZAF,,3.5,,0.593204348,Production,2022,Others/Various,1.999843653
Anil urea plant,IND,,2000,,346.5066667,Production,2030,Others/Various,1.903798676
Annual output of 5 million tons of alcohol and hdrogen clean fuel industry project,CHN,,5521.596506,,956.635,Production,,,1.734386375
Ansasol - Castilla y León,ESP,,440,,76.23146667,Production,,Solar PV,1.978845089
Antofagasta Mining Energy Renewable -AMER H2,CHL,,80,,13.86026667,Production,2025,Unknown,6.996163493
APA Renewable Methane Demonstration Project,AUS,,0.005,,0.000866267,Production,2023,Solar PV,1.999988214
"Apex Energy, Rostock-Laage",DEU,,2,,0.338973913,Production,2021,,4.999915813
Apex Lubmin,DEU,,600,,103.952,Production,2027,,4.971148021
APEX-Plug Power H2 plamt,USA,,182.5842697,,27.375,Production,,Onshore wind,1.991228504
Aqua Saudi Arabia green ammonia project,JOR,,129.9195991,,22.5090036,Production,,,1.993762027
Aquamarine,HUN,,2,,0.299861538,Production,2023,Others/Various,1.999915813
"AquaPrimus (AquaVentus, phase 1), Heligoland",DEU,,28,,4.851093333,Production,2025,Offshore wind,4.99866504
AquaSector,DEU,,272,,47.12490667,Production,2030,Offshore wind,4.986927011
AquaVentus (completion),DEU,,5000,,866.2666667,Production,2035,Offshore wind,4.759478649
Arbikie Distillery,GBR,,0.9,,0.152538261,Production,2024,Onshore wind,1.999968731
Arcadia eFuels,DNK,,403.2419599,,69.8630137,Production,2026,Unknown,6.980613397
ArcelorMittal Bremen - HyBit,DEU,,10,,1.732533333,Production,2024,,4.99953096
ArcelorMittal Hamburg,DEU,,50,,8.662666667,Production,2025,Unknown,9.997606693
ARICHILE project,CHL,,20,,3.465066667,Production,,Unknown,6.999049893
ARIES project,USA,,1,,0.149930769,Production,2022,,1.99996392
Armonia Green Castellon Phase I,ESP,,294.1379723,,50.96038415,Production,2028,Unknown,6.985862027
Armonia Green Castellon Phase II,ESP,,295.1773291,,51.14045618,Production,2030,Unknown,6.985812027
Armonia Green Castellon Phase III,ESP,,294.1379723,,50.96038415,Production,2031,Unknown,6.985862027
Armonia Green Galicia Phase I,ESP,,200,,34.65066667,Production,2028,Unknown,6.990390692
Armonia Green Galicia Phase II,ESP,,400,,69.30133333,Production,2030,Unknown,6.980769356
Armonia Green Galicia Phase III,ESP,,400,,69.30133333,Production,2031,Unknown,6.980769356
Armonia Green Sevilla phase I,ESP,,298.2953994,,51.68067227,Production,2026,Unknown,6.985662027
Armonia Green Sevilla phase II,ESP,,298.2953994,,51.68067227,Production,2028,Unknown,6.985662027
Armonia Green Sevilla phase III,ESP,,298.2953994,,51.68067227,Production,2030,Unknown,6.985662027
Armor Hydrogène,FRA,,4,,0.693013333,Production,2025,Onshore wind,1.9998196
"Arrowsmith Hydrogen Project, phase 1",AUS,,55,,9.321782609,Production,2026,Others/Various,1.99736616
"Arrowsmith Hydrogen Project, phase 2",AUS,,45,,7.626913043,Production,,Others/Various,1.997847226
"Arrowsmith Hydrogen Project, phase 3",AUS,,300,,50.84608696,Production,2028,Others/Various,1.985580024
"Arrowsmith Hydrogen Project, phase 4",AUS,,300,,50.84608696,Production,2028,Others/Various,1.985580024
As Pontes power plant,ESP,,100,,17.32533333,Production,2025,Onshore wind,1.995201359
Asahi Kasei pilot,JPN,,3.2,,0.542358261,Production,2024,,1.999858085
"Asian Renewable Energy Hub, completion",AUS,,14000,,2425.546667,Production,2036,Others/Various,1.326518569
ASKO Midt-Norge,NOR,,0.7,,0.11864087,Production,2017,Solar PV,1.999978352
Aslan Net-zero Energy Mexico (ANEM) - Phase I,MEX,,2078.713585,,360.1440576,Production,2028,Solar PV,1.900012027
Aslan Net-zero Energy Mexico (ANEM) - Phase II,MEX,,2078.713585,,360.1440576,Production,2030,Solar PV,1.900012027
"AsturiasH2Valley, Abono",ESP,,150,,25.988,Production,2025,,1.992796025
"Atacama Hydrogen Hub, phase 1",CHL,,10,,1.732533333,Production,,Solar PV,1.99953096
"Atacama Hydrogen Hub, phase 2",CHL,,2000,,346.5066667,Production,2027,Solar PV,1.903798676
ATCO clean energy innovation hub,AUS,,0.15,,0.022489615,Production,2019,,1.999995189
Atlanthia Green Hydrogen,ZAF,,44,,7.623146667,Production,,Unknown,6.997895333
Atlas' Pacific Green Fertilizer project,USA,,327.3973896,,56.72268908,Production,2027,Unknown,6.984262027
Atome - Costa Rica project,CRI,,120,,20.33843478,Production,2028,,1.994239226
Atome - Itaipu,PRY,,300,,50.84608696,Production,2028,,1.985580024
Atome - La Villeta,PRY,,145,,24.5756087,Production,2027,,1.993036559
AuxHYGen (Phase 1),FRA,,1,,0.169486957,Production,2021,,1.99996392
AuxHYGen (Phase 2),FRA,,2,,0.338973913,Production,2025,,1.999915813
Avangrid Connecticut project,USA,,20,,3.465066667,Production,,Offshore wind,1.999049893
Avangrid Oregon project,USA,,20,,3.465066667,Production,,Offshore wind,1.999049893
Aviation synfuels,PRT,,68.52477751,,10.2739726,Production,,Others/Various,1.996715527
Axpo Brugg,CHE,,15,,2.5988,Production,2025,Hydropower,1.999290427
Axpo-ENEGO green hydrogen,ITA,,100,,17.32533333,Production,,,1.995201359
Bad Lauchstädt energy park,DEU,,30,,5.084608696,Production,2025,Onshore wind,4.998568826
Badarpur New Delhi H2,IND,,1.095505618,,0.1898,Production,2027,Unknown,6.999959326
Baden-Württemberg SAF Demo plant,DEU,,148.2507206,,25.68493151,Production,2028,,4.992880177
Baglan Energy Park Wales,GBR,,0.046,,0.0077964,Production,2008,,1.999990186
Baicheng City Bus Company - Songyuan City,CHN,,6,,1.03952,Production,2023,Solar PV,1.999723387
"Baicheng, Jilin wind-solar project",CHN,,11543.78944,,2000,Production,2035,Others/Various,1.444678693
Balance project,FIN,,0.006,,0.001231011,Production,2019,,1.999988262
Ballylumford energy storage demo project,GBR,,20,,3.465066667,Production,2035,Offshore wind,1.999049893
BalticSeaH2,EST,,1049.435404,,181.8181818,Production,,Offshore wind,1.949527178
Barataria - pHYnix,ESP,,70,,12.12773333,Production,2025,Unknown,6.996644559
Barrancabermeja refinery,COL,,60,,8.995846154,Production,2027,Unknown,6.997125626
Barranco de Tirajana - Endesa,ESP,,7,,1.212773333,Production,2025,Solar PV,1.99967528
Barsebäck Hydrogen Hub,SWE,,100,,17.32533333,Production,2027,Unknown,6.995201359
Bay Hydrogen Hub,GBR,,1,,0.205168421,Production,,,1.99996392
Bear Head Energy - Nova Scotia project,CAN,,5196.783962,,900.3601441,Production,2028,Onshore wind,1.750012027
BEAUTY AMMONIA,COL,,1000,,169.4869565,Production,2027,,1.951905351
Beijing Jingneng Power Company,CHN,,2885.94736,,500,Production,,Others/Various,1.861178693
Bellary-Nellore H2,IND,,57.71894721,,10,Production,2027,Unknown,6.99723536
"BENORTH2 (Amorebieta-Boroa power plant), phase 1",ESP,,20,,3.465066667,Production,2025,,1.999049893
"BENORTH2 (Amorebieta-Boroa power plant), phase 2",ESP,,180,,31.1856,Production,2030,,1.991352825
Besaya H2,ESP,,500,,86.62666667,Production,2027,,1.975958689
BHP Nickel West Green Hydrogen ,AUS,,10,,1.732533333,Production,2024,Unknown,6.99953096
Bina Refinery,IND,,37.31495306,,6.46494,Production,2025,Unknown,6.998216928
"BioPower2Gas, Allendorf, Eder",DEU,,0.312,,0.0467784,Production,2013,,4.999997017
BioTJet (part of E-CHO),FRA,,260,,45.04586667,Production,2028,Unknown,6.987504291
Blastr Green Steel - Inkoo,FIN,,800,,138.6026667,Production,2027,Unknown,6.961526686
BLUE MED plan- EPHYRA Project,GRC,,30,,5.1976,Production,2028,Unknown,6.998568826
Blue Seal,DNK,,50,,8.662666667,Production,,Others/Various,1.997606693
BLUE SKY 300,GRC,,50,,8.662666667,Production,,Solar PV,1.997606693
"BlueScope’s Port Kembla Steelworks, Illawarra",AUS,,10,,1.732533333,Production,,Unknown,6.99953096
Boegoebaai green hydrogen,ZAF,,2308.757888,,400,Production,,Others/Various,1.88894536
BOEING (rSOC Demonstrator),USA,,0.038,,0.0077964,Production,2015,,1.999989801
Bord Na Mona & BOC hydrogen project,IRL,,2,,0.346506667,Production,2025,Onshore wind,1.999915813
Borealis-Hynamic MoU Green Ammonia,FRA,,30,,5.1976,Production,2026,Others/Various,1.998568826
"Borna Hydrogen Plant, phase 1",DEU,,100,,17.32533333,Production,2025,,4.995201359
"Borna Hydrogen Plant, phase 2",DEU,,900,,155.928,Production,2030,,4.956716019
BotH2nia - Flexens Kokkola,FIN,,350,,60.63866667,Production,2027,,1.98317469
BotnialänkenH2,SWE,,100,,17.32533333,Production,2027,Onshore wind,1.995201359
"BP Alternative Energy Investments project, Duqm",OMN,,1731.568416,,300,Production,,Unknown,6.916712027
"BP Alternative Energy Investments projects, Dhofar",OMN,,1731.568416,,300,Production,,Unknown,6.916712027
"BP Castellon refinery, phase 1 (HyVal)",ESP,,25,,3.748269231,Production,2027,Others/Various,1.99880936
"BP Castellon refinery, phase 2 (HyVal)",ESP,,1975,,342.1753333,Production,2030,Solar PV,1.905001342
Bradford Low Carbon Hydrogen,GBR,,24.5,,4.244706667,Production,2025,Unknown,6.998833413
Brande Hydrogen project,DNK,,0.4,,0.059972308,Production,2021,Offshore wind,1.999992784
Breogan project,ESP,,115.4378944,,20,Production,,Unknown,6.994458693
Brindisi Green Hydrogen,ITA,,2,,0.346506667,Production,2026,,1.999915813
BrintØ - Hydrogen Island,DNK,,10494.35404,,1818.181818,Production,2030,Offshore wind,1.495163542
Bristol Springs Solar Hydrogen Project,AUS,,36,,6.23712,Production,2025,Solar PV,1.998280186
Brooge Renewable Energy's (BRE) renewable ammonia plant ,ARE,,2078.713585,,360.1440576,Production,,Solar PV,1.900012027
Bruce Nuclear Generating Station,CAN,,3,,0.51976,Production,2025,,1.999867707
Budweiser - Protium Wales brewery,GBR,,20,,3.465066667,Production,2027,Unknown,6.999049893
BÜKKABRÁNY PtG,HUN,,1,,0.173253333,Production,2024,Solar PV,1.99996392
Bundaberg Hydrogen Hub,AUS,,80,,13.86026667,Production,2028,Solar PV,1.996163493
C2X Green Methanol Plant,EGY,,662.5915807,,114.7962,Production,2028,Others/Various,1.968136948
Cabeza de Mar,CHL,,1948.793986,,337.635054,Production,2027,Onshore wind,1.906262027
Cactus Energia Verde Port of Pecem,BRA,,1120,,194.0437333,Production,2027,Others/Various,1.94613255
CAGOU – New Caledonia,FRA,,53.87101739,,9.333333333,Production,,Solar PV,1.997420471
"Calama Mining District, phase 1",CHL,,20,,2.998615385,Production,,Onshore wind,1.999049893
"Calama Mining District, phase 2",CHL,,80,,13.86026667,Production,,Onshore wind,1.996163493
"Calama Mining District, phase 3",CHL,,100,,17.32533333,Production,,Onshore wind,1.995201359
Calix green steel plant,AUS,,10.3894105,,1.8,Production,,Unknown,6.999512227
Camberra HRS,AUS,,0.052,,0.0077964,Production,2021,Others/Various,1.999990475
"Camden County (GA), green power plant",USA,,40,,5.997230769,Production,2024,,1.99808776
Campbeltown Hydrogen SIU,GBR,,20,,3.465066667,Production,2028,,1.999049893
"Canary Islands Hub, phase 1",ESP,,5.771894721,,1,Production,,Unknown,6.99973436
Capanda Green Ammonia ,AGO,,204.2244925,,35.38257408,Production,,,1.990187465
"Carbon Governance  green hydrogen project, phase 1",IND,,210.6741573,,36.5,Production,2026,Solar PV,1.989877193
"Carbon Governance  green hydrogen project, phase 2",IND,,210.6741573,,36.5,Production,2028,Solar PV,1.989877193
"Carbon Governance  green hydrogen project, phase 3",IND,,386.2359551,,66.91666667,Production,2033,Solar PV,1.981431499
Carbon2Chem,DEU,,2,,0.338973913,Production,2018,,4.999915813
Carbonshift PtL SAF refinery,GBR,,41.51020176,,7.191780822,Production,2026,,1.998015109
Carlentini Energy park (Sicily),ITA,,4,,0.677947826,Production,2026,Onshore wind,1.9998196
CarlHYng,FRA,,300,,44.97923077,Production,2028,,1.985580024
Carlton Power hydrogen hub,GBR,,35,,6.063866667,Production,2026,Unknown,6.998328293
Cartagena refinery,COL,,60,,8.995846154,Production,2027,Unknown,6.997125626
Castellon Port,ESP,,1549.918024,,268.528464,Production,2031,,1.925450623
"Catalina Project, Phase 1",ESP,,500,,86.62666667,Production,2029,Others/Various,1.975958689
Catalyst green ammonia project,JOR,,155.9035189,,27.01080432,Production,,,1.992512027
Cavendish NextGen Hydrogen Hub ,USA,,25,,3.748269231,Production,2023,Solar PV,1.99880936
CCU biogas (11x36MW),DNK,,396,,68.60832,Production,2026,Others/Various,1.980961783
CEC Denizli Turkey,TUR,,0.00364,,0.000545748,Production,2007,,1.999988148
CEEC Songyuan Hydrogen Energy Industrial Park (Green H2-NH3 Integration) Phase 1,CHN,,640,,108.4716522,Production,2025,,1.969223754
CEEC Songyuan Hydrogen Energy Industrial Park (Green H2-NH3 Integration) Phase 2,CHN,,808.4917821,,137.0288115,Production,,,1.961118175
CEIC  Cangzhou Green Ammonia project,CHN,,150,,25.42304348,Production,2026,Others/Various,1.992796025
Cement Australia - Mitsubishi Gas Chemical Company Green Methanol in Gladstone,AUS,,193.7402283,,33.56614035,Production,2028,,1.990691828
CenterPoint Minneapolis grren hydrogen,USA,,1,,0.173253333,Production,2022,Unknown,6.99996392
"Central Queensland Hydrogen CQ-H2, phase 1",AUS,,640,,110.8821333,Production,2028,Others/Various,1.969223754
"Central Queensland Hydrogen CQ-H2, phase 2",AUS,,1360,,235.6245333,Production,2031,Others/Various,1.934586948
Centrale Electrique de l’Ouest Guyanais (CEOG),FRA,,16,,2.711791304,Production,2026,Solar PV,1.99924232
"Centre of Fuel Cell Technology, Chennai",IND,,0.0104,,0.00155928,Production,2012,,1.999988474
Centurion,GBR,,100,,14.99307692,Production,,Others/Various,1.995201359
"Cepsa La Rábida Energy Park (Huelva) - phase 1 - Andalucian Green Hydrogen Valley
Onuba Project (Together with THARSIS: LUXIA project)",ESP,,400,,69.30133333,Production,2026,Solar PV,1.980769356
"Cepsa la Rábida Energy Park (Huelva) - phase 2- Andalusian Green Hydrogen Valley THARSIS Project 
Together with ONUBA: LUXIA project)",ESP,,331.2957904,,57.3981,Production,2028,,1.984074488
"Cepsa La Rábida Energy Park (Huelva) - phase 3 - Andalusian Green Hydrogen Valley
ONUBA II Project",ESP,,400,,69.30133333,Production,2030,Unknown,6.980769356
"Cepsa San Roque Energy Park (Algeciras) - Andalucian Green Hydrogen Valley
Carteia Project - Phase 1",ESP,,500,,86.62666667,Production,2028,Unknown,6.975958689
"Cepsa San Roque Energy Park (Algeciras) - Andalusian Green Hydrogen Valley - Phase 2
CARTEIA Project",ESP,,500,,86.62666667,Production,2029,,1.975958689
Cerro Dominador - H2 CSP +PV project,CHL,,6,,1.03952,Production,,Solar PV,1.999723387
Cerro Pabellón Microgrid 450 kWh Hydrogen ESS,CHL,,0.05,,0.008662667,Production,2017,Others/Various,1.999990379
CF Industries - Donaldsonville Nitrogen Complex,USA,,20,,3.38973913,Production,2024,,1.999049893
CF's Verdigris Complex (OK),USA,,100,,17.32533333,Production,,Onshore wind,1.995201359
CGN Baicheng Hydrogen Production Project - Jilin,CHN,,0.225,,0.038982,Production,2023,Onshore wind,1.999998797
CGN Chifeng City Balinzuo Banner,CHN,,220.8638602,,38.2654,Production,2026,Solar PV,1.989387001
CGN Xinggan League Methanol Production Project,CHN,,441.7277205,,76.5308,Production,2026,,1.978761975
Chamba H2,IND,,0.084269663,,0.0146,Production,2026,Unknown,6.999992027
Chennai Petroleum Corporation (CPCL) - phase 1,IND,,0.011543789,,0.002,Production,2027,Unknown,6.999988529
Chennai Petroleum Corporation (CPCL) - phase 2,IND,,0.046175158,,0.008,Production,2030,Unknown,6.999990195
CHESS,DEU,,30,,5.1976,Production,2026,Onshore wind,4.998568826
Chevron Hydrogen Project,USA,,5,,0.749653846,Production,,Solar PV,1.999771493
Chevron solar-to-Hydrogen California,USA,,5,,0.866266667,Production,,Solar PV,1.999771493
Chicheng Wind-Hydrogen-Storage Energy Integration Demonstration stage 1,CHN,,9,,1.55928,Production,2023,Onshore wind,1.999579067
Chifeng Energy Internet of Things Zero Carbon Hydrogen Ammonia Demostration Project- Phase 1,CHN,,679.9703104,,115.2460984,Production,2024,Others/Various,1.967300916
Chifeng Energy Internet of Things Zero Carbon Hydrogen Ammonia Demostration Project- Phase 2,CHN,,637.472166,,108.0432173,Production,2026,Others/Various,1.96934536
Chifeng Energy Internet of Things Zero Carbon Hydrogen Ammonia Demostration Project- Phase 3,CHN,,594.9740216,,100.8403361,Production,2029,Others/Various,1.971389804
China Coal Ordos Energy and Chemical,CHN,,212.52,,36.019368,Production,2026,Solar PV,1.989788396
China Datang wind-solar hydrogen production demostration project,CHN,,31.42796675,,5.445,Production,2024,Others/Various,1.998500132
China Energy Construction Green Power Hydrogen Production and Ammonia Demostration Project,CHN,,57.71894721,,10,Production,2024,Others/Various,1.99723536
China Energy Engineering - Jiangsu institute - Nova RE Suria MoU,MYS,,200,,34.65066667,Production,,Unknown,6.990390692
China Nuclear Wind Storage Hydrogen and Ammonia Demostration Project,CHN,,124.672926,,21.6,Production,2024,Onshore wind,1.994014427
China Power Construction Chifeng Hydrogen Demonstration Project ,CHN,,107.3572418,,18.6,Production,2024,Others/Various,1.994847427
China State Shipbuilding (CSSC) green hydrogen project in Tong Liao ,CHN,,361.2351136,,61.22464,Production,2026,Onshore wind,1.982634206
China Tiancheng wind-solar-storage-hydrogen-ammonia-methanol integration project,CHN,,883.455441,,153.0616,Production,,Others/Various,1.957511922
China Tianying Inc. Solar & Wind Power to Green Methanol Project,CHN,,662.5915807,,114.7962,Production,,Others/Various,1.968136948
Chitrakoot H2,IND,,1492.611975,,258.6,Production,2026,Unknown,6.928207427
CHN Energy Wind-solar hydrogen ammonia  + Low-carbon parkdemostration Project,CHN,,109.6659997,,19,Production,2025,Others/Various,1.99473636
Chochin Airport Hydrogen project,IND,,1,,0.173253333,Production,,,1.99996392
Chongli wind-solar Hydrogen Project - first phase,CHN,,4.138576779,,0.6205,Production,2021,Others/Various,1.999812933
Chongli wind-solar Hydrogen Project - second phase,CHN,,9.837873891,,1.475,Production,2022,Others/Various,1.999538759
Christmas Creek Renewable Hydrogen Mobility Project,AUS,,1.4,,0.209903077,Production,2024,Solar PV,1.999944677
Chusul Project,IND,,1,,0.149930769,Production,2025,Solar PV,1.99996392
CIPP (Ceara’s Pecem Industrial Port Complex) Hydrogen project,BRA,,6926.273665,,1200,Production,2027,,1.666812027
"Clean Energy Holdings - Clear Fork, phase 1",USA,,250,,43.31333333,Production,2025,Unknown,6.987985358
Clean H2 Cluster Batam Bintan,IDN,,577.1894721,,100,Production,2030,Solar PV,1.97224536
