Project1,Project2,Score,Technology1,Country1,Capacity1,Investment1,Date1,Technology2,Country2,Capacity2,Investment2,Date2
Rozenburg Power2Gas Phase 1,H2 research center BTU Cottbus,0.6999734,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,DEU,0.14,0.023728174,2012.0
Rozenburg Power2Gas Phase 1,Narva power plant ELY,0.6999725405264,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,EST,0.144297368,0.025,2010.0
Rozenburg Power2Gas Phase 1,Hunfeld project ,0.1990014,Unknown,NLD,0.007,0.001049515,2013.0,Onshore wind,DEU,5.0,0.866266667,2025.0
Rozenburg Power2Gas Phase 1,Hydrogen Lab Gorlitz,0.6996014,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,DEU,2.0,0.346506667,2023.0
Rozenburg Power2Gas Phase 1,Lhyfe-Enerparc Luckau project,0.1990014,Unknown,NLD,0.007,0.001049515,2013.0,Solar PV,DEU,5.0,0.847434783,2024.0
Rozenburg Power2Gas Phase 1,Linde Hellas - Mandra,0.6998014,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,GRC,1.0,0.173253333,2022.0
Rozenburg Power2Gas Phase 1,"Porto, CUTE",0.6999414,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,PRT,0.3,0.050846087,2003.0
Rozenburg Power2Gas Phase 1,Methanation at Eichhof,0.6999914,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,DEU,0.05,0.007496538,2018.0
Rozenburg Power2Gas Phase 1,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",0.6987414000000001,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,DEU,6.3,1.067767826,2013.0
Rozenburg Power2Gas Phase 1,RENOVAGAS,0.69999956,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,ESP,0.0092,0.00155928,2014.0
Rozenburg Power2Gas Phase 1,Refhyne,0.6980014,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,DEU,10.0,1.499307692,2021.0
Rozenburg Power2Gas Phase 1,Hynamics Martres-Tolosane,0.6996014,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,FRA,2.0,0.338973913,2025.0
Rozenburg Power2Gas Phase 1,SALCOS - WindH2 Windwasserstoff Salzgitter,0.19950140000000002,Unknown,NLD,0.007,0.001049515,2013.0,Onshore wind,DEU,2.5,0.374826923,2021.0
Rozenburg Power2Gas Phase 1,Utilitas ELY,0.1999589188548,Unknown,NLD,0.007,0.001049515,2013.0,Solar PV,EST,0.212405726,0.036,2025.0
Rozenburg Power2Gas Phase 1,RIC Energy Valladolid -phase 1,0.1990014,Unknown,NLD,0.007,0.001049515,2013.0,Solar PV,ESP,5.0,0.749653846,2024.0
Rozenburg Power2Gas Phase 1,Stromlückenfüller 2nd phase,0.6999614000000001,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,DEU,0.2,0.029986154,2019.0
Rozenburg Power2Gas Phase 1,P2G-Biocat - Continued (Ref 508),0.6999014,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,DNK,0.5,0.084743478,2015.0
Rozenburg Power2Gas Phase 1,Energi Hub Kjerlingland,0.6990014,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,NOR,5.0,0.866266667,2025.0
Rozenburg Power2Gas Phase 1,"Oslo, CHIC",0.6998814,Unknown,NLD,0.007,0.001049515,2013.0,Unknown,NOR,0.6,0.101692174,2013.0
Narva power plant ELY,H2 research center BTU Cottbus,0.6999991405264,Unknown,EST,0.144297368,0.025,2010.0,Unknown,DEU,0.14,0.023728174,2012.0
Narva power plant ELY,Rozenburg Power2Gas Phase 1,0.6999725405264,Unknown,EST,0.144297368,0.025,2010.0,Unknown,NLD,0.007,0.001049515,2013.0
Narva power plant ELY,Hunfeld project ,0.19902885947360002,Unknown,EST,0.144297368,0.025,2010.0,Onshore wind,DEU,5.0,0.866266667,2025.0
Narva power plant ELY,Hydrogen Lab Gorlitz,0.6996288594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,DEU,2.0,0.346506667,2023.0
Narva power plant ELY,Lhyfe-Enerparc Luckau project,0.19902885947360002,Unknown,EST,0.144297368,0.025,2010.0,Solar PV,DEU,5.0,0.847434783,2024.0
Narva power plant ELY,Linde Hellas - Mandra,0.6998288594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,GRC,1.0,0.173253333,2022.0
Narva power plant ELY,"Porto, CUTE",0.6999688594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,PRT,0.3,0.050846087,2003.0
Narva power plant ELY,Methanation at Eichhof,0.6999811405264,Unknown,EST,0.144297368,0.025,2010.0,Unknown,DEU,0.05,0.007496538,2018.0
Narva power plant ELY,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",0.6987688594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,DEU,6.3,1.067767826,2013.0
Narva power plant ELY,RENOVAGAS,0.6999729805264,Unknown,EST,0.144297368,0.025,2010.0,Unknown,ESP,0.0092,0.00155928,2014.0
Narva power plant ELY,Refhyne,0.6980288594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,DEU,10.0,1.499307692,2021.0
Narva power plant ELY,Hynamics Martres-Tolosane,0.6996288594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,FRA,2.0,0.338973913,2025.0
Narva power plant ELY,SALCOS - WindH2 Windwasserstoff Salzgitter,0.1995288594736,Unknown,EST,0.144297368,0.025,2010.0,Onshore wind,DEU,2.5,0.374826923,2021.0
Narva power plant ELY,Utilitas ELY,0.4999863783284,Unknown,EST,0.144297368,0.025,2010.0,Solar PV,EST,0.212405726,0.036,2025.0
Narva power plant ELY,RIC Energy Valladolid -phase 1,0.19902885947360002,Unknown,EST,0.144297368,0.025,2010.0,Solar PV,ESP,5.0,0.749653846,2024.0
Narva power plant ELY,Stromlückenfüller 2nd phase,0.6999888594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,DEU,0.2,0.029986154,2019.0
Narva power plant ELY,P2G-Biocat - Continued (Ref 508),0.6999288594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,DNK,0.5,0.084743478,2015.0
Narva power plant ELY,Energi Hub Kjerlingland,0.6990288594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,NOR,5.0,0.866266667,2025.0
Narva power plant ELY,"Oslo, CHIC",0.6999088594736,Unknown,EST,0.144297368,0.025,2010.0,Unknown,NOR,0.6,0.101692174,2013.0
Hunfeld project ,H2 research center BTU Cottbus,0.499028,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,DEU,0.14,0.023728174,2012.0
Hunfeld project ,Rozenburg Power2Gas Phase 1,0.1990014,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,NLD,0.007,0.001049515,2013.0
Hunfeld project ,Narva power plant ELY,0.19902885947360002,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,EST,0.144297368,0.025,2010.0
Hunfeld project ,Hydrogen Lab Gorlitz,0.4994,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,DEU,2.0,0.346506667,2023.0
Hunfeld project ,Lhyfe-Enerparc Luckau project,0.5,Onshore wind,DEU,5.0,0.866266667,2025.0,Solar PV,DEU,5.0,0.847434783,2024.0
Hunfeld project ,Linde Hellas - Mandra,0.19920000000000002,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,GRC,1.0,0.173253333,2022.0
Hunfeld project ,"Porto, CUTE",0.19906000000000001,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,PRT,0.3,0.050846087,2003.0
Hunfeld project ,Methanation at Eichhof,0.49901,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,DEU,0.05,0.007496538,2018.0
Hunfeld project ,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",0.49974,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,DEU,6.3,1.067767826,2013.0
Hunfeld project ,RENOVAGAS,0.19900184,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,ESP,0.0092,0.00155928,2014.0
Hunfeld project ,Refhyne,0.499,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,DEU,10.0,1.499307692,2021.0
Hunfeld project ,Hynamics Martres-Tolosane,0.19940000000000002,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,FRA,2.0,0.338973913,2025.0
Hunfeld project ,SALCOS - WindH2 Windwasserstoff Salzgitter,0.9995,Onshore wind,DEU,5.0,0.866266667,2025.0,Onshore wind,DEU,2.5,0.374826923,2021.0
Hunfeld project ,Utilitas ELY,0.1990424811452,Onshore wind,DEU,5.0,0.866266667,2025.0,Solar PV,EST,0.212405726,0.036,2025.0
Hunfeld project ,RIC Energy Valladolid -phase 1,0.2,Onshore wind,DEU,5.0,0.866266667,2025.0,Solar PV,ESP,5.0,0.749653846,2024.0
Hunfeld project ,Stromlückenfüller 2nd phase,0.49904,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,DEU,0.2,0.029986154,2019.0
Hunfeld project ,P2G-Biocat - Continued (Ref 508),0.19910000000000003,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,DNK,0.5,0.084743478,2015.0
Hunfeld project ,Energi Hub Kjerlingland,0.2,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,NOR,5.0,0.866266667,2025.0
Hunfeld project ,"Oslo, CHIC",0.19912000000000002,Onshore wind,DEU,5.0,0.866266667,2025.0,Unknown,NOR,0.6,0.101692174,2013.0
Hydrogen Lab Gorlitz,H2 research center BTU Cottbus,0.9996280000000001,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,DEU,0.14,0.023728174,2012.0
Hydrogen Lab Gorlitz,Rozenburg Power2Gas Phase 1,0.6996014,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,NLD,0.007,0.001049515,2013.0
Hydrogen Lab Gorlitz,Narva power plant ELY,0.6996288594736,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,EST,0.144297368,0.025,2010.0
Hydrogen Lab Gorlitz,Hunfeld project ,0.4994,Unknown,DEU,2.0,0.346506667,2023.0,Onshore wind,DEU,5.0,0.866266667,2025.0
Hydrogen Lab Gorlitz,Lhyfe-Enerparc Luckau project,0.4994,Unknown,DEU,2.0,0.346506667,2023.0,Solar PV,DEU,5.0,0.847434783,2024.0
Hydrogen Lab Gorlitz,Linde Hellas - Mandra,0.6998,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,GRC,1.0,0.173253333,2022.0
Hydrogen Lab Gorlitz,"Porto, CUTE",0.69966,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,PRT,0.3,0.050846087,2003.0
Hydrogen Lab Gorlitz,Methanation at Eichhof,0.9996100000000001,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,DEU,0.05,0.007496538,2018.0
Hydrogen Lab Gorlitz,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",0.99914,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,DEU,6.3,1.067767826,2013.0
Hydrogen Lab Gorlitz,RENOVAGAS,0.69960184,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,ESP,0.0092,0.00155928,2014.0
Hydrogen Lab Gorlitz,Refhyne,0.9984000000000001,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,DEU,10.0,1.499307692,2021.0
Hydrogen Lab Gorlitz,Hynamics Martres-Tolosane,0.7,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,FRA,2.0,0.338973913,2025.0
Hydrogen Lab Gorlitz,SALCOS - WindH2 Windwasserstoff Salzgitter,0.4999,Unknown,DEU,2.0,0.346506667,2023.0,Onshore wind,DEU,2.5,0.374826923,2021.0
Hydrogen Lab Gorlitz,Utilitas ELY,0.1996424811452,Unknown,DEU,2.0,0.346506667,2023.0,Solar PV,EST,0.212405726,0.036,2025.0
Hydrogen Lab Gorlitz,RIC Energy Valladolid -phase 1,0.19940000000000002,Unknown,DEU,2.0,0.346506667,2023.0,Solar PV,ESP,5.0,0.749653846,2024.0
Hydrogen Lab Gorlitz,Stromlückenfüller 2nd phase,0.9996400000000001,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,DEU,0.2,0.029986154,2019.0
Hydrogen Lab Gorlitz,P2G-Biocat - Continued (Ref 508),0.6997,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,DNK,0.5,0.084743478,2015.0
Hydrogen Lab Gorlitz,Energi Hub Kjerlingland,0.6994,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,NOR,5.0,0.866266667,2025.0
Hydrogen Lab Gorlitz,"Oslo, CHIC",0.69972,Unknown,DEU,2.0,0.346506667,2023.0,Unknown,NOR,0.6,0.101692174,2013.0
Lhyfe-Enerparc Luckau project,H2 research center BTU Cottbus,0.499028,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,DEU,0.14,0.023728174,2012.0
Lhyfe-Enerparc Luckau project,Rozenburg Power2Gas Phase 1,0.1990014,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,NLD,0.007,0.001049515,2013.0
Lhyfe-Enerparc Luckau project,Narva power plant ELY,0.19902885947360002,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,EST,0.144297368,0.025,2010.0
Lhyfe-Enerparc Luckau project,Hunfeld project ,0.5,Solar PV,DEU,5.0,0.847434783,2024.0,Onshore wind,DEU,5.0,0.866266667,2025.0
Lhyfe-Enerparc Luckau project,Hydrogen Lab Gorlitz,0.4994,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,DEU,2.0,0.346506667,2023.0
Lhyfe-Enerparc Luckau project,Linde Hellas - Mandra,0.19920000000000002,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,GRC,1.0,0.173253333,2022.0
Lhyfe-Enerparc Luckau project,"Porto, CUTE",0.19906000000000001,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,PRT,0.3,0.050846087,2003.0
Lhyfe-Enerparc Luckau project,Methanation at Eichhof,0.49901,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,DEU,0.05,0.007496538,2018.0
Lhyfe-Enerparc Luckau project,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",0.49974,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,DEU,6.3,1.067767826,2013.0
Lhyfe-Enerparc Luckau project,RENOVAGAS,0.19900184,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,ESP,0.0092,0.00155928,2014.0
Lhyfe-Enerparc Luckau project,Refhyne,0.499,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,DEU,10.0,1.499307692,2021.0
Lhyfe-Enerparc Luckau project,Hynamics Martres-Tolosane,0.19940000000000002,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,FRA,2.0,0.338973913,2025.0
Lhyfe-Enerparc Luckau project,SALCOS - WindH2 Windwasserstoff Salzgitter,0.4995,Solar PV,DEU,5.0,0.847434783,2024.0,Onshore wind,DEU,2.5,0.374826923,2021.0
Lhyfe-Enerparc Luckau project,Utilitas ELY,0.6990424811452001,Solar PV,DEU,5.0,0.847434783,2024.0,Solar PV,EST,0.212405726,0.036,2025.0
Lhyfe-Enerparc Luckau project,RIC Energy Valladolid -phase 1,0.7,Solar PV,DEU,5.0,0.847434783,2024.0,Solar PV,ESP,5.0,0.749653846,2024.0
Lhyfe-Enerparc Luckau project,Stromlückenfüller 2nd phase,0.49904,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,DEU,0.2,0.029986154,2019.0
Lhyfe-Enerparc Luckau project,P2G-Biocat - Continued (Ref 508),0.19910000000000003,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,DNK,0.5,0.084743478,2015.0
Lhyfe-Enerparc Luckau project,Energi Hub Kjerlingland,0.2,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,NOR,5.0,0.866266667,2025.0
Lhyfe-Enerparc Luckau project,"Oslo, CHIC",0.19912000000000002,Solar PV,DEU,5.0,0.847434783,2024.0,Unknown,NOR,0.6,0.101692174,2013.0
Linde Hellas - Mandra,H2 research center BTU Cottbus,0.699828,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,DEU,0.14,0.023728174,2012.0
Linde Hellas - Mandra,Rozenburg Power2Gas Phase 1,0.6998014,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,NLD,0.007,0.001049515,2013.0
Linde Hellas - Mandra,Narva power plant ELY,0.6998288594736,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,EST,0.144297368,0.025,2010.0
Linde Hellas - Mandra,Hunfeld project ,0.19920000000000002,Unknown,GRC,1.0,0.173253333,2022.0,Onshore wind,DEU,5.0,0.866266667,2025.0
Linde Hellas - Mandra,Hydrogen Lab Gorlitz,0.6998,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,DEU,2.0,0.346506667,2023.0
Linde Hellas - Mandra,Lhyfe-Enerparc Luckau project,0.19920000000000002,Unknown,GRC,1.0,0.173253333,2022.0,Solar PV,DEU,5.0,0.847434783,2024.0
Linde Hellas - Mandra,"Porto, CUTE",0.69986,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,PRT,0.3,0.050846087,2003.0
Linde Hellas - Mandra,Methanation at Eichhof,0.69981,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,DEU,0.05,0.007496538,2018.0
Linde Hellas - Mandra,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",0.69894,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,DEU,6.3,1.067767826,2013.0
Linde Hellas - Mandra,RENOVAGAS,0.69980184,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,ESP,0.0092,0.00155928,2014.0
Linde Hellas - Mandra,Refhyne,0.6982,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,DEU,10.0,1.499307692,2021.0
Linde Hellas - Mandra,Hynamics Martres-Tolosane,0.6998,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,FRA,2.0,0.338973913,2025.0
Linde Hellas - Mandra,SALCOS - WindH2 Windwasserstoff Salzgitter,0.19970000000000002,Unknown,GRC,1.0,0.173253333,2022.0,Onshore wind,DEU,2.5,0.374826923,2021.0
Linde Hellas - Mandra,Utilitas ELY,0.1998424811452,Unknown,GRC,1.0,0.173253333,2022.0,Solar PV,EST,0.212405726,0.036,2025.0
Linde Hellas - Mandra,RIC Energy Valladolid -phase 1,0.19920000000000002,Unknown,GRC,1.0,0.173253333,2022.0,Solar PV,ESP,5.0,0.749653846,2024.0
Linde Hellas - Mandra,Stromlückenfüller 2nd phase,0.69984,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,DEU,0.2,0.029986154,2019.0
Linde Hellas - Mandra,P2G-Biocat - Continued (Ref 508),0.6999,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,DNK,0.5,0.084743478,2015.0
Linde Hellas - Mandra,Energi Hub Kjerlingland,0.6992,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,NOR,5.0,0.866266667,2025.0
Linde Hellas - Mandra,"Oslo, CHIC",0.69992,Unknown,GRC,1.0,0.173253333,2022.0,Unknown,NOR,0.6,0.101692174,2013.0
"Porto, CUTE",H2 research center BTU Cottbus,0.699968,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,DEU,0.14,0.023728174,2012.0
"Porto, CUTE",Rozenburg Power2Gas Phase 1,0.6999414,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,NLD,0.007,0.001049515,2013.0
"Porto, CUTE",Narva power plant ELY,0.6999688594736,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,EST,0.144297368,0.025,2010.0
"Porto, CUTE",Hunfeld project ,0.19906000000000001,Unknown,PRT,0.3,0.050846087,2003.0,Onshore wind,DEU,5.0,0.866266667,2025.0
"Porto, CUTE",Hydrogen Lab Gorlitz,0.69966,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,DEU,2.0,0.346506667,2023.0
"Porto, CUTE",Lhyfe-Enerparc Luckau project,0.19906000000000001,Unknown,PRT,0.3,0.050846087,2003.0,Solar PV,DEU,5.0,0.847434783,2024.0
"Porto, CUTE",Linde Hellas - Mandra,0.69986,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,GRC,1.0,0.173253333,2022.0
"Porto, CUTE",Methanation at Eichhof,0.6999500000000001,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,DEU,0.05,0.007496538,2018.0
"Porto, CUTE","ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",0.6988,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,DEU,6.3,1.067767826,2013.0
"Porto, CUTE",RENOVAGAS,0.69994184,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,ESP,0.0092,0.00155928,2014.0
"Porto, CUTE",Refhyne,0.69806,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,DEU,10.0,1.499307692,2021.0
"Porto, CUTE",Hynamics Martres-Tolosane,0.69966,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,FRA,2.0,0.338973913,2025.0
"Porto, CUTE",SALCOS - WindH2 Windwasserstoff Salzgitter,0.19956000000000002,Unknown,PRT,0.3,0.050846087,2003.0,Onshore wind,DEU,2.5,0.374826923,2021.0
"Porto, CUTE",Utilitas ELY,0.1999824811452,Unknown,PRT,0.3,0.050846087,2003.0,Solar PV,EST,0.212405726,0.036,2025.0
"Porto, CUTE",RIC Energy Valladolid -phase 1,0.19906000000000001,Unknown,PRT,0.3,0.050846087,2003.0,Solar PV,ESP,5.0,0.749653846,2024.0
"Porto, CUTE",Stromlückenfüller 2nd phase,0.69998,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,DEU,0.2,0.029986154,2019.0
"Porto, CUTE",P2G-Biocat - Continued (Ref 508),0.69996,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,DNK,0.5,0.084743478,2015.0
"Porto, CUTE",Energi Hub Kjerlingland,0.69906,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,NOR,5.0,0.866266667,2025.0
"Porto, CUTE","Oslo, CHIC",0.69994,Unknown,PRT,0.3,0.050846087,2003.0,Unknown,NOR,0.6,0.101692174,2013.0
Methanation at Eichhof,H2 research center BTU Cottbus,0.999982,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,DEU,0.14,0.023728174,2012.0
Methanation at Eichhof,Rozenburg Power2Gas Phase 1,0.6999914,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,NLD,0.007,0.001049515,2013.0
Methanation at Eichhof,Narva power plant ELY,0.6999811405264,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,EST,0.144297368,0.025,2010.0
Methanation at Eichhof,Hunfeld project ,0.49901,Unknown,DEU,0.05,0.007496538,2018.0,Onshore wind,DEU,5.0,0.866266667,2025.0
Methanation at Eichhof,Hydrogen Lab Gorlitz,0.9996100000000001,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,DEU,2.0,0.346506667,2023.0
Methanation at Eichhof,Lhyfe-Enerparc Luckau project,0.49901,Unknown,DEU,0.05,0.007496538,2018.0,Solar PV,DEU,5.0,0.847434783,2024.0
Methanation at Eichhof,Linde Hellas - Mandra,0.69981,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,GRC,1.0,0.173253333,2022.0
Methanation at Eichhof,"Porto, CUTE",0.6999500000000001,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,PRT,0.3,0.050846087,2003.0
Methanation at Eichhof,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",0.99875,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,DEU,6.3,1.067767826,2013.0
Methanation at Eichhof,RENOVAGAS,0.69999184,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,ESP,0.0092,0.00155928,2014.0
Methanation at Eichhof,Refhyne,0.9980100000000001,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,DEU,10.0,1.499307692,2021.0
Methanation at Eichhof,Hynamics Martres-Tolosane,0.6996100000000001,Unknown,DEU,0.05,0.007496538,2018.0,Unknown,FRA,2.0,0.338973913,2025.0
Methanation at Eichhof,SALCOS - WindH2 Windwasserstoff Salzgitter,0.49951,Unknown,DEU,0.05,0.007496538,2018.0,Onshore wind,DEU,2.5,0.374826923,2021.0
Methanation at Eichhof,Utilitas ELY,0.19996751885480002,Unknown,DEU,0.05,0.007496538,2018.0,Solar PV,EST,0.212405726,0.036,2025.0
